                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6106,                 1.2715,                 2.7999,                 1.1935,                0.26388,                0.12879,                0.16359,                0.13878,                0.26388,                0.12879,                0.16407,                0.14044,                0.61791,                0.70236,                 5.7917,                 1.4973,             0.00013302,             0.00013302,             0.00013302
                      2,                0.55157,                 0.8317,                 2.0273,                 1.1161,                0.09044,                0.15714,                0.14247,                0.13587,                0.09044,                0.15714,                0.14247,                0.13374,                0.46376,                0.66571,                 5.0388,                 1.2911,             0.00026108,             0.00026108,             0.00026108
                      3,                0.55657,                0.81334,                 1.7405,                 1.1124,                0.12572,                0.11693,                0.14793,                0.13015,                0.12572,                0.11693,                0.14793,                0.13177,                 0.6124,                0.79162,                 4.7716,                 1.5313,             0.00038386,             0.00038386,             0.00038386
                      4,                0.54838,                0.83077,                 1.5205,                 1.1079,                0.37887,                0.09524,                0.13571,                 0.1223,                0.37887,                0.09524,                0.13595,                0.12525,                0.61873,                0.64488,                 5.5759,                 1.5318,             0.00037624,             0.00037624,             0.00037624
                      5,                0.52957,                0.75861,                 1.4372,                 1.0911,                0.09435,                0.12236,                0.14897,                0.13842,                0.09435,                0.12236,                0.14897,                0.13693,                0.56899,                0.80255,                 5.9296,                 1.4035,             0.00037624,             0.00037624,             0.00037624
                      6,                0.52094,                0.77241,                 1.3068,                 1.0901,                 0.2227,                0.09524,                0.10781,                0.09731,                 0.2227,                0.09524,                0.10785,                0.10316,                0.50464,                0.92057,                 6.0305,                 1.3437,             0.00036832,             0.00036832,             0.00036832
                      7,                0.51474,                0.72181,                 1.1623,                 1.0858,                0.28511,                0.09524,                0.10738,                0.09686,                0.28511,                0.09524,                0.10738,                0.10478,                0.55282,                0.77458,                  5.892,                 1.3972,              0.0003604,              0.0003604,              0.0003604
                      8,                0.49194,                0.74541,                 1.0933,                 1.0672,                0.28502,                0.09524,                0.10444,                0.09774,                0.28502,                0.09524,                0.10454,                0.09901,                0.50971,                0.71352,                 5.5099,                 1.3606,             0.00035248,             0.00035248,             0.00035248
                      9,                0.46942,                0.71623,                 1.0199,                 1.0604,                0.18855,                0.09524,                0.10386,                0.10067,                0.18855,                0.09524,                0.10386,                0.10134,                0.52364,                0.75343,                 5.9482,                 1.3336,             0.00034456,             0.00034456,             0.00034456
                     10,                0.47854,                0.70432,                 0.9308,                 1.0576,                0.09432,                0.09524,                0.10169,                0.09884,                0.09432,                0.09524,                0.10169,                0.09645,                0.50766,                0.98891,                 5.7799,                 1.3101,             0.00033664,             0.00033664,             0.00033664
